COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_moyen_age,ER_moyen_coh,EAD_sum
2012,60-120,84.0,0.3064,0.1222,0.269,32639.04
2012,60-120,84.0,0.8242,0.1222,0.269,3033.22
2012,60-120,85.0,0.1522,0.1222,0.269,1402.68
2012,60-120,86.0,0.0386,0.1222,0.269,13526.53
2012,60-120,86.0,0.0,0.1222,0.269,13344.63
2012,60-120,86.0,0.0313,0.1222,0.269,3197.73
2012,60-120,86.0,0.0238,0.1222,0.269,11639.99
2012,60-120,87.0,0.3087,0.1222,0.269,3239.8
2012,60-120,87.0,0.9426,0.1222,0.269,42754.83
2012,60-120,88.0,0.6973,0.1222,0.269,4302.43
2012,60-120,88.0,0.0115,0.1222,0.269,8696.22
2012,60-120,88.0,0.32,0.1222,0.269,5967.92
2012,60-120,89.0,0.0,0.1222,0.269,1268.71
2012,60-120,90.0,0.9346,0.1222,0.269,21399.31
2012,60-120,90.0,0.994,0.1222,0.269,2012.07
2012,60-120,91.0,0.0519,0.1222,0.269,7877.66
2012,60-120,91.0,0.4947,0.1222,0.269,2425.83
2012,60-120,92.0,0.0891,0.1222,0.269,8600.22
2012,60-120,92.0,0.0489,0.1222,0.269,13812.29
2012,60-120,93.0,0.0,0.1222,0.269,4389.93
2012,60-120,93.0,0.0375,0.1222,0.269,2665.91
2012,60-120,94.0,0.1032,0.1222,0.269,7427.3
2012,60-120,94.0,0.0,0.1222,0.269,7969.26
2012,60-120,94.0,0.1142,0.1222,0.269,13360.85
2012,60-120,95.0,0.4239,0.1222,0.269,4718.62
2012,60-120,96.0,0.1228,0.1222,0.269,6240.77
2012,60-120,96.0,0.0702,0.1222,0.269,5820.35
2012,60-120,96.0,0.2041,0.1222,0.269,5681.84
2012,60-120,98.0,0.0441,0.1222,0.269,2266.59
2012,60-120,99.0,0.0386,0.1222,0.269,15219.82
2012,60-120,101.0,0.4605,0.1222,0.269,4343.33
2012,60-120,101.0,0.0495,0.1222,0.269,2019.02
2012,60-120,101.0,0.399,0.1222,0.269,12530.6
2012,60-120,102.0,0.0517,0.1222,0.269,1935.13
2012,60-120,102.0,0.3005,0.1222,0.269,12233.07
2012,60-120,103.0,0.0615,0.1222,0.269,16520.45
2012,60-120,103.0,0.1314,0.1222,0.269,76074.28
2012,60-120,104.0,0.4296,0.1222,0.269,3491.72
2012,60-120,106.0,0.1743,0.1222,0.269,2343.63
2012,60-120,106.0,0.1419,0.1222,0.269,63402.98
2012,60-120,107.0,0.0,0.1222,0.269,2580.78
2012,60-120,108.0,0.0362,0.1222,0.269,7652.86
2012,60-120,110.0,0.0,0.1222,0.269,6011.11
2012,60-120,110.0,0.0382,0.1222,0.269,7260.82
2012,60-120,111.0,0.7435,0.1222,0.269,33625.47
2012,60-120,113.0,0.5683,0.1222,0.269,3519.09
2012,60-120,115.0,0.6129,0.1222,0.269,1211.12
2012,60-120,119.0,0.1913,0.1222,0.269,1045.48
2012,120+,121.0,0.0,0.1797,0.269,6668.25
2012,120+,124.0,0.4507,0.1797,0.269,3328.04
2012,120+,124.0,0.5342,0.1797,0.269,5241.09
2012,120+,125.0,0.2847,0.1797,0.269,5268.43
2012,120+,126.0,0.0,0.1797,0.269,6924.12
2012,120+,126.0,0.5403,0.1797,0.269,9253.6
2012,120+,127.0,0.9668,0.1797,0.269,3102.98
2012,120+,132.0,0.309,0.1797,0.269,3236.47
2012,120+,135.0,0.1265,0.1797,0.269,11856.62
2013,60-120,63.0,0.0,0.1222,0.0911,3361.68
2013,60-120,65.0,0.0209,0.1222,0.0911,25324.9
2013,60-120,66.0,0.9945,0.1222,0.0911,15082.3
2013,60-120,66.0,0.0178,0.1222,0.0911,24037.09
2013,60-120,66.0,0.9308,0.1222,0.0911,1074.38
2013,60-120,66.0,0.0,0.1222,0.0911,2386.21
2013,60-120,66.0,0.2913,0.1222,0.0911,10300.06
2013,60-120,67.0,0.017,0.1222,0.0911,28850.19
2013,60-120,68.0,0.0457,0.1222,0.0911,11714.76
2013,60-120,68.0,0.3428,0.1222,0.0911,9071.85
2013,60-120,69.0,0.0267,0.1222,0.0911,11221.66
2013,60-120,70.0,0.0175,0.1222,0.0911,55125.9
2013,60-120,70.0,0.028,0.1222,0.0911,16821.18
2013,60-120,70.0,0.0185,0.1222,0.0911,6497.51
2013,60-120,71.0,0.0721,0.1222,0.0911,2773.24
2013,60-120,71.0,0.1335,0.1222,0.0911,5242.48
2013,60-120,71.0,0.2521,0.1222,0.0911,1586.39
2013,60-120,72.0,0.0179,0.1222,0.0911,53831.96
2013,60-120,72.0,0.0209,0.1222,0.0911,44960.02
2013,60-120,72.0,0.0,0.1222,0.0911,21030.74
2013,60-120,73.0,0.0333,0.1222,0.0911,6322.41
2013,60-120,73.0,0.1105,0.1222,0.0911,2858.35
2013,60-120,73.0,0.1543,0.1222,0.0911,1943.65
2013,60-120,73.0,0.0211,0.1222,0.0911,44461.73
2013,60-120,74.0,0.0,0.1222,0.0911,25191.31
2013,60-120,74.0,0.2084,0.1222,0.0911,24226.47
2013,60-120,74.0,0.0533,0.1222,0.0911,1957.0
2013,60-120,74.0,0.0764,0.1222,0.0911,1308.82
2013,60-120,74.0,0.0703,0.1222,0.0911,12309.49
2013,60-120,76.0,0.0,0.1222,0.0911,5049.89
2013,60-120,76.0,0.5355,0.1222,0.0911,7469.91
2013,60-120,76.0,0.0,0.1222,0.0911,33732.13
2013,60-120,76.0,0.022,0.1222,0.0911,51651.3
2013,60-120,76.0,0.0,0.1222,0.0911,20770.8
2013,60-120,77.0,0.2852,0.1222,0.0911,8764.76
2013,60-120,77.0,0.0463,0.1222,0.0911,55034.97
2013,60-120,77.0,0.0,0.1222,0.0911,14557.51
2013,60-120,77.0,0.5616,0.1222,0.0911,5342.16
2013,60-120,77.0,0.4717,0.1222,0.0911,21321.83
2013,60-120,78.0,0.6792,0.1222,0.0911,2944.48
2013,60-120,79.0,0.0788,0.1222,0.0911,20167.47
2013,60-120,80.0,0.0,0.1222,0.0911,11095.2
2013,60-120,80.0,0.2584,0.1222,0.0911,16219.97
2013,60-120,81.0,0.189,0.1222,0.0911,1322.54
2013,60-120,83.0,0.0667,0.1222,0.0911,2604.72
2013,60-120,84.0,0.0259,0.1222,0.0911,15878.77
2013,60-120,85.0,0.1561,0.1222,0.0911,32039.86
2013,60-120,86.0,0.0671,0.1222,0.0911,51603.28
2013,60-120,86.0,0.0,0.1222,0.0911,9553.71
2013,60-120,87.0,0.9457,0.1222,0.0911,2114.8
2013,60-120,87.0,0.0299,0.1222,0.0911,21298.15
2013,60-120,88.0,0.0654,0.1222,0.0911,48863.34
2013,60-120,89.0,0.0261,0.1222,0.0911,35980.12
2013,60-120,89.0,0.0453,0.1222,0.0911,11965.21
2013,60-120,91.0,0.7692,0.1222,0.0911,6500.13
2013,60-120,91.0,0.0458,0.1222,0.0911,10268.75
2013,60-120,91.0,0.1703,0.1222,0.0911,1374.57
2013,60-120,92.0,0.0313,0.1222,0.0911,12596.97
2013,60-120,92.0,0.0602,0.1222,0.0911,16621.59
2013,60-120,93.0,0.0347,0.1222,0.0911,18354.81
2013,60-120,94.0,0.0488,0.1222,0.0911,24087.33
2013,60-120,95.0,0.0318,0.1222,0.0911,12904.87
2013,60-120,95.0,0.0281,0.1222,0.0911,33478.83
2013,60-120,95.0,0.0,0.1222,0.0911,24275.76
2013,60-120,96.0,0.029,0.1222,0.0911,3698.08
2013,60-120,97.0,0.039,0.1222,0.0911,16320.55
2013,60-120,97.0,0.03,0.1222,0.0911,31358.11
2013,60-120,97.0,0.7652,0.1222,0.0911,9147.82
2013,60-120,97.0,0.0103,0.1222,0.0911,3463.04
2013,60-120,98.0,0.4956,0.1222,0.0911,10088.38
2013,60-120,98.0,0.0307,0.1222,0.0911,35435.37
2013,60-120,100.0,0.032,0.1222,0.0911,34026.58
2013,60-120,100.0,0.0318,0.1222,0.0911,29554.93
2013,60-120,101.0,0.0757,0.1222,0.0911,24399.99
2013,60-120,101.0,0.0325,0.1222,0.0911,28945.24
2013,60-120,102.0,0.0334,0.1222,0.0911,32597.67
2013,60-120,102.0,0.0344,0.1222,0.0911,12467.63
2013,60-120,102.0,0.9479,0.1222,0.0911,3165.01
2013,60-120,104.0,0.0827,0.1222,0.0911,1812.82
2013,60-120,105.0,0.0528,0.1222,0.0911,12071.7
