COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_pred,RA_sum,EAD_sum
1994,120+,295.0,0.23736047861416196,0.34462948183495207,265.82,1119.9
1995,120+,286.0,0.09489792474078439,0.35746257880495513,309.26,3258.87
1995,120+,291.0,0.12351459661035817,0.33550882614845157,177.53,1437.32
1995,120+,293.0,0.0,0.3374230998987695,0.0,1531.97
1996,120+,271.0,0.3401823377330249,0.3408264694202442,500.0,1469.8
1996,120+,272.0,0.12029483169659455,0.33656373238391507,165.0,1371.63
1996,120+,280.0,0.9534049146069035,0.34462948183495207,1323.04,1387.7
1996,120+,280.0,0.2665749764225086,0.3408264694202442,339.19,1272.4
1997,120+,261.0,0.04439678133849216,0.3408264694202442,126.68,2853.36
1997,120+,262.0,0.08106236086031032,0.3408264694202442,431.85,5327.38
1997,120+,266.0,0.03802093144491806,0.34462948183495207,86.79,2282.69
1997,120+,268.0,0.17110731981777594,0.3408264694202442,377.1,2203.88
1997,120+,271.0,0.0458014058640998,0.34462948183495207,86.79,1894.92
1997,120+,272.0,0.13213268764493302,0.3374230998987695,200.0,1513.63
1997,120+,274.0,0.21355135076014434,0.3408264694202442,312.4,1462.88
1997,120+,274.0,0.0523364147837256,0.34462948183495207,86.79,1658.31
1997,120+,278.0,0.06486256221694095,0.34462948183495207,86.79,1338.06
1997,120+,280.0,0.07797983791263095,0.34462948183495207,86.79,1112.98
1997,120+,281.0,0.0793305485224354,0.34462948183495207,86.79,1094.03
1997,120+,282.0,0.24733966532458942,0.3491920599261233,302.86,1224.47
1997,120+,288.0,0.0,0.3408264694202442,0.0,3756.15
1997,120+,289.0,0.1179783124680039,0.3408264694202442,177.45,1504.09
1998,120+,251.0,0.05036140394035208,0.3408264694202442,139.21,2764.22
1998,120+,254.0,0.05420688433756277,0.34001468309849675,299.95,5533.43
1998,120+,258.0,0.05899725732988246,0.3408264694202442,168.0,2847.59
1998,120+,262.0,0.07219369568552425,0.3408264694202442,160.0,2216.26
1998,120+,266.0,0.06409156416529813,0.3408264694202442,191.23,2983.7
1998,120+,273.0,0.06163866222557918,0.34462948183495207,99.56,1615.22
1999,120+,257.0,0.06665622443829514,0.3408264694202442,383.0,5745.9
