Age,Facteur
0.0,1.0
1.0,1.0
2.0,2.2290408233899557
3.0,1.6707347754933868
4.0,1.4084958761605597
5.0,1.3674264986192506
6.0,1.251335346898937
7.0,1.2018030281942769
8.0,1.1789804319063784
9.0,1.1426769994966959
10.0,1.1151445462638228
11.0,1.1139986464551102
12.0,1.0876171639078265
13.0,1.0863709682643505
14.0,1.0755443633314725
15.0,1.0736024545488823
16.0,1.0609007663515866
17.0,1.063088146020767
18.0,1.0560100442241898
19.0,1.0525115135378005
20.0,1.0462075403899453
21.0,1.0487410883939545
22.0,1.0419850148678547
23.0,1.0418195023987686
24.0,1.0407174331911353
25.0,1.0361740647042403
26.0,1.0364028376004915
27.0,1.035888751496656
28.0,1.032886306668161
29.0,1.0315217818702216
30.0,1.025321963091975
31.0,1.025864430233418
32.0,1.0306245811804056
33.0,1.026896272704485
34.0,1.0260490464380159
35.0,1.0285096178237196
36.0,1.0243358580126343
37.0,1.0247118363650143
38.0,1.0226967426067803
39.0,1.020544581266573
40.0,1.019733876348954
41.0,1.021261166901905
42.0,1.0201473541061659
43.0,1.0183998859769223
44.0,1.0236430214266297
45.0,1.0188563356169056
46.0,1.0184276518248658
47.0,1.0172148897633275
48.0,1.0185690130404699
49.0,1.017858857088168
50.0,1.0209445427174004
51.0,1.0140469469182372
52.0,1.0143329904497644
53.0,1.014361488559148
54.0,1.0154763464200647
55.0,1.0147612434796138
56.0,1.016206955579584
57.0,1.0121657162449857
58.0,1.0180701054524057
59.0,1.0188241166062826
60.0,1.012632801480787
61.0,1.0175136522118193
62.0,1.01910230117695
63.0,1.0205009454693148
64.0,1.0122987935979255
65.0,1.0121999891070717
66.0,1.010796136131094
67.0,1.0150173809203853
68.0,1.0111063695929874
69.0,1.014661691756162
70.0,1.009332975665063
71.0,1.0117727065079607
72.0,1.0105504647566865
73.0,1.008276437025173
74.0,1.0153594190362425
75.0,1.013130085521725
76.0,1.016589894389181
77.0,1.0077326715714792
78.0,1.0077209266177727
79.0,1.006757660868465
80.0,1.0107269930469935
81.0,1.0095178005064236
82.0,1.0112915801330868
83.0,1.0111231975360109
84.0,1.007509255436935
85.0,1.006876703250858
86.0,1.007174696199135
87.0,1.0085552960228918
88.0,1.0095848758804074
89.0,1.003269671119161
90.0,1.0050972083489516
91.0,1.0043597736852392
92.0,1.002171668284992
93.0,1.0063265833052304
94.0,1.0085295974909545
95.0,1.0073334197898112
96.0,1.0093921965372652
97.0,1.0099935646815752
98.0,1.0086203023377849
99.0,1.0056687448415165
100.0,1.0052189338506636
101.0,1.0107134023102577
102.0,1.0036356174353356
103.0,1.008041579189871
104.0,1.0036267677935518
105.0,1.0016209714056017
106.0,1.001047178738619
110.0,1.0126038542080444
113.0,1.0043351755680467
