AGE_PRET,ER_baseline
0.0,0.0006222889686568301
1.0,0.00890490339731188
2.0,0.05072395515010793
3.0,0.054244943482114796
4.0,0.08645170199351346
5.0,0.12176686574492536
6.0,0.12991261595035627
7.0,0.15515963937199495
8.0,0.18647132445079553
9.0,0.19600928792201716
10.0,0.21367391120583282
11.0,0.2382772967600448
12.0,0.24433438411271907
13.0,0.2534657853203219
14.0,0.27535787062032213
15.0,0.2776211606338683
16.0,0.2842458187696018
17.0,0.3015566069649048
18.0,0.30388252071326993
19.0,0.30598036584839516
20.0,0.3220478579719443
21.0,0.32123007528776704
22.0,0.3210857982361041
23.0,0.3345665902489039
24.0,0.33425556248227617
25.0,0.331813164121422
26.0,0.3438161949900691
27.0,0.342581124489137
28.0,0.33811827061032884
29.0,0.3492377317477283
30.0,0.34756530947550024
31.0,0.33978271875853877
32.0,0.34857100518239004
33.0,0.34671528154041653
34.0,0.3395364348468976
35.0,0.3483810352056227
36.0,0.3468964684929867
37.0,0.3388638327663501
38.0,0.3472377803516937
39.0,0.3441478485052094
40.0,0.3347335719308131
41.0,0.3413391628491395
42.0,0.33672645020350417
43.0,0.3274032728582304
44.0,0.333427455747293
45.0,0.330717361894944
46.0,0.32117658690249645
47.0,0.3270951172202344
48.0,0.32244913135371017
49.0,0.3128323594045244
50.0,0.31841918780368417
51.0,0.3147618700242426
52.0,0.3042259087903987
53.0,0.30858637583566234
54.0,0.3025077769777371
55.0,0.2925919643306753
56.0,0.29691098555633894
57.0,0.2908345939227694
58.0,0.2803804274068344
59.0,0.2854469312968665
60.0,0.2798209788829911
61.0,0.27003078251667356
62.0,0.27476000772815595
63.0,0.26845135411985754
64.0,0.27395486069183256
65.0,0.27732417497862977
66.0,0.2761788842607673
67.0,0.26028953188307224
68.0,0.27547458197350877
69.0,0.27853410449438026
70.0,0.2712739711374945
71.0,0.27380576450868577
72.0,0.25501364017328854
73.0,0.2683436133117911
74.0,0.2705645423284735
75.0,0.264035875236454
76.0,0.2675026888591121
77.0,0.2614157991028626
78.0,0.2734058641083259
79.0,0.26547122123186434
80.0,0.26726518571528657
81.0,0.25874197312384956
82.0,0.2659551765243528
83.0,0.2645103966002165
84.0,0.2525613209541753
85.0,0.25998617924671197
86.0,0.2535277303406765
87.0,0.255346714783927
88.0,0.25430139464769025
89.0,0.25904791756119044
90.0,0.27091225304140315
91.0,0.2585571783139555
93.0,0.2496657499407627
94.0,0.2512452811062258
