AGE_PRET,ER_cumule
0.0,0.1239773600237423
1.0,0.42788084686576094
2.0,0.5039550675180527
3.0,0.5039550675180527
4.0,0.5466858239183248
5.0,0.5543921157367528
6.0,0.5543921157367528
7.0,0.600925195227966
8.0,0.6048937719717518
9.0,0.6048937719717518
10.0,0.6427024742605785
11.0,0.6514618071259283
12.0,0.6514618071259283
13.0,0.6863225862417854
14.0,0.6961964572312275
15.0,0.6961964572312275
16.0,0.7258866438415061
17.0,0.7364146423822654
18.0,0.7364146423822654
19.0,0.768808098588516
20.0,0.7749682954268281
21.0,0.7749682954268281
22.0,0.803559663498074
23.0,0.8088801587935945
24.0,0.8088801587935945
25.0,0.8311084829429636
26.0,0.8392453203785387
27.0,0.8392453203785387
28.0,0.8615646780124667
29.0,0.8624607593411437
30.0,0.8624607593411437
31.0,0.8771454773522008
32.0,0.8856816003121681
33.0,0.8856816003121681
34.0,0.9032984545025294
35.0,0.9051648525866809
36.0,0.9051648525866809
