ID;AGE_CLI;B_MAT;B_RESMAT;CLASSACT;CSP;DARRET;E_OFF;MREVTOT;MTECH;NBIMP;NB_ECH;produit;RA;Tx;EAD;AGE_PRET;HORIZON_RES;CSP_grp;CRD;ER_obs;FLAG_ER;Capital_initial;Date_origination;Cohorte
a000146;68.0;36.0;27.0;1;70.0;2019-01-01;0.0;1483.0;366.25;0;36;AMO;9183.52;2.125106421437776;0.0;9.0;27;SALARIE;9888.75;0.9286836051068134;1;13185.0;2018-04-06;2018Q2
a000147;29.0;48.0;40.0;1;53.0;2019-01-01;0.0;1902.0;39.5;0;49;AMO;3000.0;2.229650450982495;1264.55;8.0;40;SALARIE;1580.0;1.0;1;1896.0;2018-05-06;2018Q2
a000148;61.0;24.0;11.0;1;52.0;2019-01-01;0.0;4115.0;645.0;0;19;AMO;4000.0;1.4978230307949094;6038.66;13.0;11;SALARIE;7095.0;0.5637773079633545;1;15480.0;2017-12-07;2017Q4
a000149;44.0;72.0;64.0;1;52.0;2019-01-01;0.0;2500.0;178.68;0;72;AMO;9942.42;2.0834253672477683;0.0;8.0;64;SALARIE;11435.52;0.8694331346541303;1;12864.960000000001;2018-05-06;2018Q2
a000150;42.0;48.0;39.0;1;48.0;2019-01-01;0.0;2272.0;72.29;0;48;AMO;2616.0;2.229650450982495;0.0;9.0;39;SALARIE;2819.3100000000004;0.927886610553646;1;3469.92;2018-04-06;2018Q2
a000151;47.0;61.0;53.0;1;54.0;2019-01-01;0.0;1515.0;159.51;0;60;AMO;7212.0;2.229650450982495;0.0;8.0;53;SALARIE;8454.029999999999;0.8530842686860587;1;9730.109999999999;2018-05-06;2018Q2
a000152;32.0;50.0;43.0;1;52.0;2019-01-01;0.0;1840.0;368.03;0;50;AMO;15358.51;1.956669555329463;0.0;7.0;43;SALARIE;15825.289999999999;0.9705041740151366;1;18401.5;2018-06-05;2018Q2
a000153;56.0;13.0;5.0;1;64.0;2019-01-01;0.0;1497.0;87.25;0;12;AMO;430.05;2.4322707635071428;0.0;8.0;5;INACTIF;436.25;0.9857879656160459;1;1134.25;2018-05-06;2018Q2
a000154;61.0;60.0;52.0;1;70.0;2019-01-01;0.0;2003.0;100.57;0;60;AMO;4663.0;2.2593654994071057;0.0;8.0;52;SALARIE;5229.639999999999;0.891648373501809;1;6034.2;2018-05-06;2018Q2
a000155;68.0;30.0;23.0;1;70.0;2019-01-01;0.0;2450.0;114.13;0;30;AMO;2470.2;2.4322707635071428;0.0;7.0;23;SALARIE;2624.99;0.9410321563129764;1;3423.8999999999996;2018-06-05;2018Q2
a000156;52.0;48.0;43.0;1;56.0;2019-01-01;0.0;720.0;96.38;0;48;AMO;3641.0;2.229650450982495;0.0;5.0;43;SALARIE;4144.34;0.8785476095108027;1;4626.24;2018-08-04;2018Q3
a000157;62.0;60.0;55.0;1;70.0;2019-01-01;0.0;2817.0;119.64;0;60;AMO;5679.0;2.229650450982495;0.0;5.0;55;SALARIE;6580.2;0.8630436764839975;1;7178.4;2018-08-04;2018Q3
a000158;69.0;24.0;4.0;1;70.0;2019-01-01;0.0;1220.0;46.38;0;8;AMO;736.36;2.4322707635071428;113.61;20.0;4;SALARIE;185.52;1.0;1;1113.1200000000001;2017-05-11;2017Q2
