h,ER_cumulee_real,ER_marginal_real,ER_cumulee_proj,ER_marginal_proj
0,0.0,0.0,0.0,0.0
1,0.02884251840916047,0.02884251840916047,0.11789764528526647,0.11789764528526647
2,0.06029562681165943,0.03145310840249896,0.17795516654014,0.060057521254873514
3,0.08762580343157554,0.02733017661991611,0.22614103113430994,0.04818586459416996
4,0.11630628522045983,0.028680481788884285,0.26828571767357545,0.04214468653926551
5,0.14378049439173254,0.027474209171272718,0.30665267738429136,0.03836695971071591
6,0.17445942783068974,0.030678933438957195,0.34041218341269286,0.0337595060284015
7,0.210143492429289,0.03568406459859927,0.37261428565756705,0.03220210224487419
8,0.24145256828043138,0.03130907585114237,0.4022118089245236,0.029597523266956527
9,0.2688547611760258,0.027402192895594424,0.42978919280667705,0.027577383882153472
10,0.3007759753704337,0.03192121419440791,0.45452269877578444,0.024733505969107394
11,0.3296905100552725,0.02891453468483879,0.47771764927741434,0.023194950501629896
12,0.3546441495778046,0.0249536395225321,0.49826575162597186,0.02054810234855753
13,0.38089408206254616,0.026249932484741556,0.516651872995979,0.018386121370007225
14,0.4103307347460526,0.029436652683506426,0.5335812129985069,0.016929340002527882
15,0.43865113515654536,0.028320400410492774,0.5494727925214314,0.01589157952292447
16,0.4674576454278667,0.02880651027132136,0.5634826091535995,0.014009816632168048
17,0.492105215778766,0.02464757035089926,0.5756665151570424,0.012183906003442824
18,0.5222260230812164,0.03012080730245037,0.5861262464865884,0.01045973132954603
19,0.554795383756729,0.03256936067551264,0.5954727879258828,0.009346541439294476
20,0.5845020974740291,0.02970671371730016,0.6024509064058312,0.006978118479948392
21,0.6126964694020849,0.02819437192805574,0.6082305948589366,0.005779688453105336
22,0.6404947518139099,0.027798282411825026,0.6116272902308288,0.0033966953718922444
23,0.6661685540932251,0.02567380227931515,0.6148739268809981,0.0032466366501692767
24,0.6904200349278937,0.02425148083466866,0.6164117018239569,0.001537774942958814
25,0.7132131861800767,0.022793151252182953,0.6175731790587301,0.0011614772347732227
26,0.738328862322885,0.025115676142808296,0.6183025424665058,0.000729363407775796
27,0.7606178996453199,0.022289037322434924,0.6187314413015635,0.00042889883505764503
28,0.7817006643501432,0.021082764704823287,0.6190308752362448,0.0002994339346811814
29,0.8038276650523019,0.022127000702158672,0.6192524880858261,0.00022161284958133187
30,0.8253605314801145,0.021532866427812603,0.6194109386248331,0.00015845053900703787
31,0.8482076949390562,0.022847163458941777,0.619551673832474,0.00014073520764096292
32,0.8669319266154151,0.018724231676358838,0.6196787476633894,0.0001270738309153141
33,0.8850260158795887,0.018094089264173663,0.619807812333914,0.00012906467052464787
34,0.9036242190735106,0.018598203193921914,0.619956202629053,0.00014839029513896707
35,0.9206560682714293,0.01703184919791867,0.6201479424353236,0.00019173980627062992
36,0.9362655960247016,0.01560952775327229,0.6203248763083734,0.00017693387304978936
37,0.9508128837117189,0.014547287687017296,0.6204903932748955,0.00016551696652206127
38,0.9690870136650883,0.01827412995336941,0.6206419982783403,0.0001516050034448546
39,0.9855427326575806,0.01645571899249232,0.6208236866974028,0.0001816884190625756
40,1.0,0.014457267342419367,0.6210159213708033,0.00019223467340034883
