ID,AGE_CLI,B_MAT,B_RESMAT,CLASSACT,CSP,DARRET,E_OFF,MREVTOT,MTECH,NBIMP,NB_ECH,produit,RA,Tx,EAD,AGE_PRET,HORIZON_RES,CF_CAP_OBS,ER_obs,FLAG_ER,EAD_POST,Tx_bin,B_RESMAT_bin,AGE_PRET_BIN
a000331,27.0,60.0,50.0,1,55.0,2019-01-01,0.0,1307.0,278.08,0,60,AMO,1300.0,2.1806073626269216,11535.38,10.0,50,1300.0,0.11269676421582991,1,10235.38,"(2.094, 2.181]","(27.6, 55.2]",0-12
a000333,49.0,144.0,49.0,1,52.0,2019-01-01,0.0,2122.0,523.26,0,144,AMO,555.81,2.3673493941365695,20843.08,95.0,49,555.81,0.02666640438937047,1,20287.27,"(2.256, 2.786]","(27.6, 55.2]",60-120
a000351,65.0,60.0,37.0,1,70.0,2019-01-01,0.0,2300.0,185.58,0,60,AMO,603.68,1.8930481527692042,6319.58,23.0,37,603.68,0.09552533554445074,1,5715.9,"(-1.501, 2.094]","(27.6, 55.2]",12-36
a000356,51.0,36.0,14.0,1,52.0,2019-01-01,0.0,2445.0,94.7,0,36,AMO,-1653.04,2.3254909050882318,11.02,22.0,14,-1653.04,0.0,0,1664.06,"(2.256, 2.786]","(-0.276, 27.6]",12-36
a000369,27.0,48.0,44.0,1,52.0,2019-01-01,0.0,1061.0,104.46,0,48,AMO,1300.0,1.956669555329463,4358.23,4.0,44,1300.0,0.2982862308781318,1,3058.2299999999996,"(-1.501, 2.094]","(27.6, 55.2]",0-12
a000373,65.0,120.0,54.0,1,43.0,2019-01-01,0.0,4843.0,342.56,0,120,AMO,15000.0,2.428907580967955,15082.3,66.0,54,15000.0,0.99454327257779,1,82.29999999999927,"(2.256, 2.786]","(27.6, 55.2]",60-120
a000376,74.0,77.0,7.0,1,70.0,2019-01-01,0.0,1580.0,81.27,0,72,AMO,88.19,2.3061798186680496,476.59,70.0,7,88.19,0.18504374829518036,1,388.4,"(2.256, 2.786]","(-0.276, 27.6]",60-120
a000390,35.0,85.0,29.0,1,42.0,2019-01-01,0.0,2058.0,79.25,0,84,AMO,85.84,2.3824105905492,1854.57,56.0,29,85.84,0.046285661905455175,1,1768.73,"(2.256, 2.786]","(27.6, 55.2]",36-60
a000397,33.0,60.0,2.0,1,56.0,2019-01-01,0.0,1975.0,65.91,0,60,AMO,74.28,2.3976269654649567,136.46,58.0,2,74.28,0.5443353363623039,1,62.18000000000001,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000403,69.0,84.0,31.0,1,70.0,2019-01-01,0.0,3200.0,1128.67,1,84,AMO,1228.85,2.4732199141725357,29678.09,53.0,31,1228.85,0.04140596648908336,1,28449.24,"(2.256, 2.786]","(27.6, 55.2]",36-60
a000415,63.0,60.0,9.0,1,56.0,2019-01-01,0.0,3200.0,192.06,0,60,AMO,1200.0,2.2593654994071057,1396.53,51.0,9,1200.0,0.8592726257223261,1,196.52999999999997,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000416,75.0,84.0,25.0,1,70.0,2019-01-01,0.0,1121.0,32.93,0,77,AMO,271.84,2.3543059027771167,679.8,59.0,25,271.84,0.39988231832892024,1,407.96,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000429,54.0,61.0,2.0,1,36.0,2019-01-01,0.0,16470.0,24.1,0,58,AMO,0.0,2.309559509152804,3.2,59.0,2,0.0,0.0,0,3.2,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000454,33.0,61.0,13.0,1,46.0,2019-01-01,0.0,2000.0,178.9,0,60,AMO,389.71,2.278151250383644,2255.63,48.0,13,389.71,0.17277213018092505,1,1865.92,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000461,28.0,62.0,16.0,1,55.0,2019-01-01,0.0,2910.0,529.08,0,60,AMO,1149.16,2.167452739121905,7741.22,46.0,16,1149.16,0.14844688563301392,1,6592.06,"(2.094, 2.181]","(-0.276, 27.6]",36-60
a000480,66.0,61.0,18.0,1,70.0,2019-01-01,0.0,1100.0,236.31,0,60,AMO,1500.0,2.278151250383644,3755.59,43.0,18,1500.0,0.3994046208451934,1,2255.59,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000502,48.0,61.0,24.0,1,55.0,2019-01-01,0.0,0.0,167.32,0,60,AMO,546.86,2.241702849427633,3533.63,37.0,24,546.86,0.154758704222004,1,2986.77,"(2.181, 2.256]","(-0.276, 27.6]",36-60
a000507,44.0,73.0,42.0,1,60.0,2019-01-01,0.0,4726.0,140.07,0,72,AMO,300.0,2.153212513775344,5298.46,31.0,42,300.0,0.056620225499484755,1,4998.46,"(2.094, 2.181]","(27.6, 55.2]",12-36
a000537,37.0,61.0,31.0,1,54.0,2019-01-01,0.0,998.0,140.27,0,60,AMO,800.0,2.210117132592179,3913.65,30.0,31,800.0,0.2044127604665721,1,3113.65,"(2.181, 2.256]","(27.6, 55.2]",12-36
a000554,61.0,73.0,46.0,1,54.0,2019-01-01,0.0,1874.0,113.68,0,72,AMO,2550.0,2.0356736335570615,2801.41,27.0,46,2550.0,0.9102559068469093,1,251.40999999999985,"(-1.501, 2.094]","(27.6, 55.2]",12-36
