Age,Facteur_Propre,Facteur_Benchmark,Facteur_Credibilite,Poids_Z
0.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.6875
1.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.8076923076923077
2.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.8076923076923077
3.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.8
4.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.8076923076923077
5.0,1.1847329879919353,1.0162810391958952,1.1523383824542353,0.8076923076923077
6.0,1.1551491848744009,1.0162810391958952,1.1273755557386997,0.8
7.0,1.1402376105935732,1.0162810391958952,1.1163998084017122,0.8076923076923077
8.0,1.1252198384935383,1.0162810391958952,1.1042700693978378,0.8076923076923077
9.0,1.1142990861022948,1.1668627674467917,1.1248118223711943,0.8
10.0,1.10493568410914,1.1810348737547767,1.1195701436563779,0.8076923076923077
11.0,1.094698985661815,1.148486823808174,1.105042800689961,0.8076923076923077
12.0,1.0869133298612588,1.1359777940062359,1.096726222690254,0.8
13.0,1.0848554755833808,1.1451118576568302,1.0964432413667364,0.8076923076923077
14.0,1.0788674353104228,1.1286314193144218,1.088437432234269,0.8076923076923077
15.0,1.0733650889158484,1.1098742685608176,1.0806669248448422,0.8
16.0,1.0730579329012382,1.1177239639186423,1.0816475542507389,0.8076923076923077
17.0,1.0696751448236574,1.1117144047770149,1.0777596178916107,0.8076923076923077
18.0,1.0625248701244558,1.0946988240913897,1.0689596609178427,0.8
19.0,1.0619204843994123,1.10068366735193,1.0693749426595118,0.8076923076923077
20.0,1.0585774251027837,1.088973295188995,1.0644227847347474,0.8076923076923077
21.0,1.0562294997913546,1.083176484587127,1.0616188967505091,0.8
22.0,1.0567385471899455,1.0873031605306311,1.0626163574477696,0.8076923076923077
23.0,1.0544129107566385,1.0822954514978886,1.0597749378222634,0.8076923076923077
24.0,1.0496020892600846,1.0715520219930832,1.0539920758066843,0.8
25.0,1.0506192465959527,1.0754158415390618,1.0553878225465505,0.8076923076923077
26.0,1.0493194605856633,1.072971329811226,1.0538678969751945,0.8076923076923077
27.0,1.0460170060546827,1.066406334306841,1.0500948717051144,0.8
28.0,1.0456263457012052,1.0663042852828872,1.0496028725438364,0.8076923076923077
29.0,1.0454452379729806,1.0646965410789495,1.0491474116472055,0.8076923076923077
30.0,1.0434471842701014,1.060963807254382,1.0469505088669575,0.8
31.0,1.042777700509099,1.0613080211945158,1.0463412237178331,0.8076923076923077
32.0,1.0420955910934013,1.059104981917713,1.0453666277903844,0.8076923076923077
33.0,1.0440564596939066,1.0622897785922347,1.0477031234735723,0.8
34.0,1.0487805489850337,1.0683480445156661,1.0525435288947707,0.8076923076923077
35.0,1.043561347531125,1.0582666678230834,1.046389293741117,0.8076923076923077
36.0,1.0373094134931125,1.0500647586894558,1.0398604825323812,0.8
37.0,1.0381001771288951,1.0513270515623716,1.0406438068276405,0.8076923076923077
38.0,1.0371013504464313,1.0481579091081168,1.0392276117275245,0.8076923076923077
39.0,1.0371933224103471,1.0477032901501726,1.0392953159583123,0.8
40.0,1.0397468766728184,1.0502350298250602,1.0417638292020956,0.8076923076923077
41.0,1.037650600361839,1.0486750646354621,1.0397706896452281,0.8076923076923077
42.0,1.0356061372277765,1.0443674211251022,1.0373583940072417,0.8
43.0,1.0366578637321195,1.0471101564699834,1.0386679200278626,0.8076923076923077
44.0,1.0355000282316245,1.0428021761424613,1.036904287445247,0.8076923076923077
45.0,1.0415945244077687,1.0508514056365534,1.0434459006535257,0.8
46.0,1.0428302522016752,1.0524807087236274,1.0446861092251276,0.8076923076923077
47.0,1.0422627300197584,1.049863820104857,1.0437244781130466,0.8076923076923077
48.0,1.0333121357075203,1.03797742360596,1.0342451932872083,0.8
49.0,1.0315585025903724,1.0366083010641645,1.0325296176814862,0.8076923076923077
50.0,1.031723748972985,1.035737678548728,1.0324956585067817,0.8076923076923077
51.0,1.034238257479834,1.039181394972812,1.0352268849784294,0.8
52.0,1.0353119794189476,1.0394734436554711,1.0361122610028943,0.8076923076923077
53.0,1.0328960412966106,1.0369096304800094,1.0336678853703412,0.8076923076923077
54.0,1.0327842054316976,1.0355515342945247,1.033337671204263,0.8
55.0,1.0284328663889233,1.0323152015900543,1.0291794693122176,0.8076923076923077
56.0,1.0354486764507027,1.0369748053235848,1.0357421627724108,0.8076923076923077
57.0,1.0384989783689922,1.040255752479582,1.03885033319111,0.8
58.0,1.0392209525788192,1.0409586094261214,1.0395551173571465,0.8076923076923077
59.0,1.039347010587387,1.039347010587387,1.039347010587387,0.8076923076923077
60.0,1.0342507357459758,1.0342507357459758,1.0342507357459758,0.8
61.0,1.0283717745955214,1.0283717745955214,1.0283717745955214,0.8076923076923077
62.0,1.0346566465758245,1.0346566465758245,1.0346566465758245,0.8076923076923077
63.0,1.0350621589852578,1.0350621589852578,1.0350621589852578,0.8
64.0,1.0319268687631975,1.0319268687631975,1.0319268687631975,0.8
65.0,1.0307131571421357,1.0307131571421357,1.0307131571421357,0.8
